Timestamp,Topic,Room,Data_Payload
"10/3/2569 14:14:48","m5/room1/power","room1","{"room":"room1";"current_amp":1.25;"power_watt":275;"Timestamp":"2026-03-02 19:07:00";"hash":"01c17f990d960f361520eb02e417122b143da15f6f2f5997072f376f1fa21de4"}"
"10/3/2569 14:28:19","m5/room1/power","room1","{"room":"room1";"current_amp":0.49;"power_watt":2.47;"Timestamp":"1999-11-30 01:07:53";"hash":"01c17f990d960f361520eb02e417122b143da15f6f2f5997072f376f1fa21de4"}"
"10/3/2569 14:28:21","m5/room1/doorstatus","room1","{"Register":false;"room":"room1";"status":"open";"M5":true;"RFID":null;"Timestamp":"1999-11-30 01:07:55";"hash":"01c17f990d960f361520eb02e417122b143da15f6f2f5997072f376f1fa21de4"}"
"10/3/2569 14:28:25","m5/room1/doorstatus","room1","{"Register":false;"room":"room1";"status":"closed";"M5":false;"RFID":null;"Timestamp":"1999-11-30 01:07:58";"hash":"01c17f990d960f361520eb02e417122b143da15f6f2f5997072f376f1fa21de4"}"
"10/3/2569 14:28:25","m5/room1/power","room1","{"room":"room1";"current_amp":0.58;"power_watt":2.92;"Timestamp":"1999-11-30 01:07:59";"hash":"01c17f990d960f361520eb02e417122b143da15f6f2f5997072f376f1fa21de4"}"
"10/3/2569 14:28:27","m5/room1/doorstatus","room1","{"Register":false;"room":"room1";"status":"open";"M5":true;"RFID":null;"Timestamp":"1999-11-30 01:08:01";"hash":"01c17f990d960f361520eb02e417122b143da15f6f2f5997072f376f1fa21de4"}"
"10/3/2569 14:28:31","m5/room1/doorstatus","room1","{"Register":false;"room":"room1";"status":"closed";"M5":false;"RFID":null;"Timestamp":"1999-11-30 01:08:04";"hash":"01c17f990d960f361520eb02e417122b143da15f6f2f5997072f376f1fa21de4"}"
"10/3/2569 14:28:31","m5/room1/power","room1","{"room":"room1";"current_amp":0.7;"power_watt":3.48;"Timestamp":"1999-11-30 01:08:05";"hash":"01c17f990d960f361520eb02e417122b143da15f6f2f5997072f376f1fa21de4"}"
"10/3/2569 14:28:37","m5/room1/power","room1","{"room":"room1";"current_amp":0.5;"power_watt":2.5;"Timestamp":"1999-11-30 01:08:10";"hash":"01c17f990d960f361520eb02e417122b143da15f6f2f5997072f376f1fa21de4"}"
"10/3/2569 14:29:13","m5/room1/power","room1","{"room":"room1";"current_amp":0.5;"power_watt":2.52;"Timestamp":"1999-11-30 01:08:47";"hash":"01c17f990d960f361520eb02e417122b143da15f6f2f5997072f376f1fa21de4"}"
"10/3/2569 14:29:14","m5/room1/doorstatus","room1","{"Register":false;"room":"room1";"status":"open";"M5":true;"RFID":null;"Timestamp":"1999-11-30 01:08:48";"hash":"01c17f990d960f361520eb02e417122b143da15f6f2f5997072f376f1fa21de4"}"
"10/3/2569 14:29:17","m5/room1/doorstatus","room1","{"Register":false;"room":"room1";"status":"closed";"M5":false;"RFID":null;"Timestamp":"1999-11-30 01:08:51";"hash":"01c17f990d960f361520eb02e417122b143da15f6f2f5997072f376f1fa21de4"}"
